,song,lyrics
11,Bet My Heart,"It's not time for conversation, no|-|I don't want to complicate this for you|-|And I leave them other girls alone|-|If you'll be the one that I come home to|-|All of my love, all of my love|-|My time, my attention|-|My patience, I'm giving it all|-|All the above, all the above|-|No this ain't the way|-|That I usually play this|-|No, no|-|Would I lose|-|If I bet my heart on you?|-|Would I lose|-|If I bet my heart on you?|-|I don't wanna slow down|-|Won't you let me know now|-|Would I lose, oh|-|If I bet my heart on you?|-|(Bet my heart on)|-|Is it real? Is it fake?|-|Would you leave? Would you stay?|-|Will the night turn into day?|-|Will we get closer? Or will it be over?|-|I'm only hoping|-|I don't waste, I don't waste|-|All of my love, all of my love|-|My time, my attention|-|My patience, I'm giving it all|-|All the above, all the above|-|No this ain't the way|-|That I usually play this|-|No, no|-|Would I lose|-|If I bet my heart on you?|-|Would I lose|-|If I bet my heart on you?|-|I don't wanna slow down|-|Won't you let me know now|-|Would I lose, oh|-|If I bet my heart on you? (Bet my heart on)|-|If I bet my heart on you? (Bet my heart on)|-|It's not time for conversation, no|-|I don't want to complicate this for you|-|And I leave them other girls alone|-|If you'll be the one that I come home to|-|Would I lose|-|If I bet my heart on you?|-|Would I lose|-|If I bet my heart on you?|-|I don't wanna slow down|-|Won't you let me know now|-|Would I lose? Oh|-|Would I lose|-|If I bet my heart on you?|-|Would I lose|-|If I bet my heart on you?|-|I don't wanna slow down|-|Won't you let me know now|-|Would I lose, oh|-|If I bet my heart on you? (Bet my heart on)|-|If I bet my heart on you? (Bet my heart on)|-|If I bet my heart on you?"
12,Better That We Break,"I never knew perfection till, I heard you speak|-|And now it kills me just to hear you say the simple things|-|Now waking up is hard to do, sleeping's impossible too|-|And everything's reminding me of you|-|What can I do?|-|It's not right, not okay|-|Say the words that you say|-|Maybe we're better off this way|-|I'm not fine, I'm in pain|-|It's harder everyday|-|Maybe we're better off this way|-|It's better that we break|-|A fool to let you slip away|-|I'd chase you just to hear you say|-|You're scared, and that you think that I'm insane|-|City looks so nice from here|-|Pity I can't see it clearly|-|While you're standing there it disappears|-|It disappears|-|It's not right, not okay|-|Say the words that you say|-|Maybe we're better off this way|-|I'm not fine, I'm in pain|-|It's harder everyday|-|Maybe we're better off this way|-|It's better that we break|-|Saw you sitting all alone|-|You're fragile and you're cold|-|But that's alright|-|Love these days is getting rough|-|It knocks you down, then beats you up|-|But it's just a roller coaster anyway|-|It's not right, not okay|-|Say the words that you say|-|Maybe we're better off this way|-|I'm not fine, I'm in pain|-|It's harder everyday|-|Maybe we're better off this way|-|It's not fine, not okay|-|Say the words that you say|-|Maybe we're better off this way|-|I'm not fine, I'm in pain|-|It's harder everyday|-|Maybe we're better off this way|-|It's better that we break."
13,Can't Stop,"All alone in my room, think of you at a rate that is truly alarming|-|I keep looping my memories of you in my head, I pretend that you want me|-|And I fall asleep and dream of alternate realities|-|And I put myself at ease by pretending that she still loves me|-|And I can't stop thinking about you|-|And I can't stop thinking about you|-|You never call, what do I do?|-|And I can't stop thinking about your love|-|Ohh, yeah|-|Can't believe I could think that she would just follow me everywhere I go|-|I just wrestle with you in my dreams and wake up making love to a pillow|-|And I fall asleep and dream of alternate realities|-|And I put myself at ease by pretending that she still loves me|-|And I can't stop thinking about you|-|And I can't stop thinking about you|-|You never call, what do I do?|-|And I can't stop, and I can't stop|-|What I would give to have you look in my direction|-|And I'd give my life to somehow attract your attention|-|And I touch myself like it's somebody else|-|Thoughts of you are tattooed on my mind, let me show you|-|And I can't stop thinking about you|-|And I can't stop thinking about you|-|You'll never go, what do I do?|-|And I can't stop thinking about you|-|And I can't stop thinking about you|-|And I can't stop thinking about you|-|You'll never go, what do I do?|-|And I can't stop thinking about you"
14,Chilly Winter,"You have been gone for so long|-|Don't know if you're ever coming back|-|Who knows if you'll ever come around again?|-|Baby, it's so cold|-|Where you are|-|Another chilly winter in New York|-|Cold|-|Where you are|-|Another chilly winter in New York, oh|-|I get so hungry|-|But what I got is not enough|-|Don't got any money|-|No fancy car, no sexy scars|-|But I, I do have something|-|That you want|-|And I'd love you till I crumble to the ground|-|Yeehoo|-|You have been gone for so long|-|Don't know if you're ever coming back|-|Who knows if you'll ever come around again?|-|Baby, it's so cold|-|Where you are|-|Another chilly winter in New York|-|Cold|-|Where you are|-|Another chilly winter in New York, oh|-|You have been gone for so long|-|Don't know if you're ever coming back|-|Who knows if you'll ever come around again?|-|Baby, it's so cold|-|Where you are|-|Another chilly winter in New York|-|Cold|-|Where you are|-|Another chilly winter in New York, oh"
15,Chilly Winter (Demo),"You have been gone for so long|-|Don't know if you're ever coming back|-|Who knows if you'll ever come around again?|-|Baby, it's so cold|-|Where you are|-|Another chilly winter in New York|-|Cold|-|Where you are|-|Another chilly winter in New York, oh|-|I get so hungry|-|But what I got is not enough|-|Don't got any money|-|No fancy car, no sexy scars|-|But I, I do have something|-|That you want|-|And I'd love you till I crumble to the ground|-|Yeehoo|-|You have been gone for so long|-|Don't know if you're ever coming back|-|Who knows if you'll ever come around again?|-|Baby, it's so cold|-|Where you are|-|Another chilly winter in New York|-|Cold|-|Where you are|-|Another chilly winter in New York, oh|-|You have been gone for so long|-|Don't know if you're ever coming back|-|Who knows if you'll ever come around again?|-|Baby, it's so cold|-|Where you are|-|Another chilly winter in New York|-|Cold|-|Where you are|-|Another chilly winter in New York, oh"
16,Closure,"You come over to tell that it's over|-|Say you want to do this face to face|-|Bottle opens, we pour out our emotions|-|Knew that if you came here you would stay|-|If you want closure|-|Come on and close that door|-|I know, I know, I know|-|What you really came for|-|If you want closure|-|Come on and close that door|-|I know, I know, I know|-|What you really came for|-|I know what you want, baby|-|What you really came for|-|Closure|-|I know what you want, baby|-|Know what you came here for|-|Closure|-|How did we end up in this situation?|-|Guess it went exactly as you planned|-|I always give in to your manipulation|-|I tried to resist but I just can't|-|If you want closure|-|Come on and close that door|-|I know, I know, I know|-|What you really came for|-|If you want closure|-|Come on and close that door|-|I know, I know, I know|-|What you really came for|-|I know what you want, baby|-|Know what you came for|-|Closure|-|I know what you want, baby|-|Know what you came here for|-|Closure|-|Ooh ooh yeah|-|Ooh ooh, ooh ooh|-|Oh, as soon as we make love|-|It's gonna break your heart again|-|'Cause we both know when we wake up|-|That we'll go back to war again, yeah|-|If you want closure|-|Come on and close that door|-|I know, I know, I know|-|What you really came for|-|If you want closure|-|Come on and close that door|-|I know, I know, I know|-|What you really came for|-|I know what you want, baby|-|Know what you want, baby|-|Closure|-|I know what you want, baby|-|Know what you came here for|-|Closure"
17,Cold,"Cold enough to chill my bones|-|It feels like I don't know you anymore|-|I don't understand why you're so|-|Cold to me with every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold|-|Are we taking time or a time out?|-|I can't take the in between|-|Asking me for space here in my house|-|You know how to fuck with me|-|Acting like we're not together|-|After everything that we've been through|-|Sleeping up under the covers|-|How am I so far away from you?|-|Distant when we're kissing feel so different|-|Baby, tell me how did you get so|-|Cold enough to chill my bones?|-|It feels like I don't know you anymore|-|I don't understand why you're so|-|Cold to me with every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold, yeah|-|Whoa, yeah, whoa, yeah|-|I don't understand why you're so cold|-|What you holdin' on, holdin' on for?|-|If you wanna leave, just leave|-|Why you wanna bite your tongue for?|-|The silence is killing me|-|Acting like we're not together|-|If you don't want this, then what's the use?|-|Sleeping up under the covers|-|How am I so far away from you?|-|Distant, oh, when we're kissing, yeaa, feel so different, yeah|-|Baby, tell me how did you get so|-|Cold enough to chill my bones?|-|It feels like I don't know you anymore|-|I don't understand why you're so|-|Cold to me with every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold, yeah|-|Whoa, yeah, whoa, yeah|-|I don't understand why you're so|-|Cold, yeah (So tough, it's a cold world)|-|Whoa, yeah (So tough, it's a cold world)|-|Whoa, yeah (So tough, it's a cold world)|-|I don't understand why you're so cold|-|Never thought that you were like this|-|I took the tag off and made you priceless|-|I just spent half a mill' on a chandelier|-|Now you tryna cut me off like a light switch, yeah|-|Tryna stay, and I leave|-|Saying that you need some time to breathe|-|Thinking that I'm sleeping on the four letter word|-|But the four letter word don't sleep|-|We goin' two separate ways|-|You ain't been actin' the same|-|You gotta go, but where your heart used to be|-|You gold dig every day|-|I switched the four door to the two door|-|'Cause I can't let my driver hear what you say|-|Girl, I tried to give you space|-|Baby, tell me how did you get so|-|Cold enough to chill my bones?|-|It feels like I don't know you anymore|-|I don't understand why you're so|-|Cold to me with every breath you breathe|-|I see there's something going on|-|I don't understand why you're so|-|Cold, yeah (So tough, it's a cold world)|-|Whoa, yeah (So tough, it's a cold world)|-|Whoa, yeah (So tough, it's a cold world)|-|I don't understand why you're so|-|Cold, yeah (So tough, it's a cold world)|-|Whoa, yeah (So tough, it's a cold world)|-|Whoa, yeah (So tough, it's a cold world)|-|I don't understand why you're so cold"
19,Cold (Hot Shade &amp; Mike Perry Remix),"Cold enough to chill my bones|-|It feels like I don't know you anymore|-|I don't understand why you're so cold to me|-|With every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold|-|Are we taking time or a time out?|-|I can't take the in between|-|Asking me for space here in my house|-|You know how to fuck with me|-|Acting like we're not together|-|After everything that we've been through|-|Sleeping up under the covers|-|How am I so far away from you?|-|Distant when we're kissing|-|Feel so different|-|Baby, tell me how did you get so...|-|Cold enough to chill my bones?|-|It feels like I don't know you anymore|-|I don't understand why you're so cold to me|-|With every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold|-|Why you're so|-|Why you're so|-|I don't understand why you're so|-|Why you're so|-|Why you're so|-|I don't understand why you're so cold|-|What you holdin' on, holdin' on for?|-|If you wanna leave just leave|-|Why you wanna bite your tongue for?|-|The silence is killing me|-|Acting like we're not together|-|If you don't want this, then what's the use?|-|Sleeping up under the covers|-|How am I so far away from you?|-|Distant, oh, when we're kissing, yeah|-|Feel so different, yeah.|-|Baby, tell me how did you get so...|-|Cold enough to chill my bones?|-|It feels like I don't know you anymore|-|I don't understand why you're so cold to me|-|With every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold|-|Why you're so|-|why you're so|-|I don't understand why you're so|-|Why you're so|-|Why you're so|-|I don't understand why you're so cold|-|Never thought that you were like this|-|I took the tag off and made you priceless|-|I just spent half a mill' on a chandelier|-|Now you tryin'a cut me off like a light switch, yeah|-|Tryna stay, and I leave|-|Saying that you need some time to breathe|-|Thinking that I'm sleeping on the four letter word|-|But the four letter word don't sleep|-|We goin' two separate ways|-|You ain't been actin' the same|-|You gotta go, but where your heart used to be|-|You gold dig every day|-|I switched the four door to the two door|-|'Cause I can't let my driver hear what you say|-|Girl, I tried to give you space|-|Baby, tell me how did you get so|-|Cold enough to chill my bones?|-|It feels like I don't know you anymore|-|I don't understand why you're so cold to me|-|With every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold"
21,Cold (Remix),"Maroon 5|-|It's Gucci|-|Nigga, why you turn so cold on me? (Brr)|-|All the things that you said took a toll on me|-|Told me you would take the charge but you told on me|-|I thought that you rock with me but you rolled on me|-|How my best friend turn into my enemy?|-|I really love you girl but I don't need the energy|-|You broke my heart, girl and I can't find the remedy|-|Now me and you can't even be in the same vicinity|-|Your friends interferin', they should throw a penalty|-|And you can't see it but them bitches full of jealousy|-|You played yourself, you had the baller of the century|-|Baby, tell me how did you get so|-|Cold enough to chill my bones|-|It feels like I don't know you anymore|-|I don't understand why you're so cold to me|-|With every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold, yeah|-|Whoa, yeah|-|Whoa, yeah|-|I don't understand why you're so cold|-|Are we taking time, or a time out?|-|I can't take the in-between|-|Asking me for space here in my house|-|You know how to fuck with me|-|Acting like we're not together|-|After everything that we've been through|-|Sleeping up under the covers|-|How am I so far away from you?|-|Distant, oh, when we're kissing, yeah|-|Feel so different, yeah|-|Baby, tell me how did you get so|-|Cold enough to chill my bones|-|It feels like I don't know you anymore|-|I don't understand why you're so cold to me|-|With every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold|-|Whoa, yeah|-|Whoa, yeah|-|I don't understand why you're so cold, yeah|-|So cold, it's a cold world|-|Whoa, yeah|-|So cold, it's a cold world|-|Whoa, yeah|-|So cold, it's a cold world|-|I don't understand why you're so cold|-|Never thought that you were like this|-|I took the tag off, and made you priceless|-|I just spent half a mill' on a chandelier|-|Now you tryna cut me off like a light switch, yeah|-|Tryna stay, and I leave|-|Sayin' that you need some time to breathe|-|Thinkin' that I'm sleepin' on the four letter word|-|But the four letter word don't sleep|-|We goin' two separate ways|-|You ain't been actin' the same|-|You gotta go, but where your heart used to be|-|You gold dig every day|-|I switched the four door to the two door|-|'Cause I can't let my driver hear what you say|-|Girl, I tried to give you space|-|Baby, tell me how did you get so|-|Cold enough to chill my bones|-|It feels like I don't know you anymore|-|I don't understand why you're so cold to me|-|With every breath you breathe|-|I see there's something going on|-|I don't understand why you're so cold|-|So cold, it's a cold world|-|Whoa, yeah|-|So cold, it's a cold world|-|Whoa, yeah|-|So cold, it's a cold world|-|I don't understand why you're so cold, yeah|-|So cold, it's a cold world|-|Whoa, yeah|-|So cold, it's a cold world|-|Whoa, yeah|-|So cold, it's a cold world|-|I don't understand why you're so cold"
22,Come Away To The Water,Come away little loss|-|Come away to the water|-|To the ones that are waiting only for you|-|Come away little loss|-|Come away to the water|-|Away from the life that you always knew|-|We are calling to you|-|Come away little light|-|Come away to the darkness|-|In the shade of the night we'll come looking for you|-|Come away little light|-|Come away to the darkness|-|To the ones appointed to see it through|-|We are calling for you|-|We are coming for you|-|Come away little lamb|-|Come away to the water|-|Give yourself so we might live a new|-|Come away little lamb|-|Come away to the slaughter|-|To the ones appointed to see this through|-|We are calling for you|-|We are coming for you|-|...|-|Come away little lamb|-|Come away to the water|-|To the arms that are waiting only for you|-|Come away little lamb come away to the slaughter|-|To the one appointed to see this through|-|We are calling for you|-|We are coming for you|-|...|-|We are coming for you|-|...|-|We are coming for you|-|Welcome August
23,Coming Back For You,"Looking at the same sky that we used to live under|-|Are you thinking about the love that I took from us?|-|When you close your eyes|-|Do you see me love?|-|Am I keeping you awake?|-|Whatcha scared about?|-|Are you giving up?|-|When you know, you know, you know|-|You know that I'm coming back for you|-|Don't you worry girl|-|Don't you worry girl|-|You know that I'm coming back for you|-|Don't you worry girl|-|I'll be back for you|-|So you better wait up|-|Keeping the bed warm for me|-|All night putting the whisper on me|-|Giving that love and emotion that I know|-|Doesn't really matter what you do|-|I'll be back for you|-|Coming back for you|-|Yeah|-|I know there are millions of miles in between our hearts|-|But I will come running for you I don't care how far|-|When you close your eyes|-|Do you see me love?|-|Am I keeping you awake?|-|Whatcha scared about?|-|Are you giving up?|-|When you know, you know, you know|-|You know that I'm coming back for you|-|Don't you worry girl|-|Don't you worry girl|-|You know that I'm coming back for you|-|Don't you worry girl|-|I'll be back for you|-|So you better wait up|-|Keeping the bed warm for me|-|All night putting the whisper on me|-|Giving that love and emotion that I know|-|Doesn't really matter what you do|-|I'll be back for you|-|Coming back for you|-|Yeah|-|Yeah|-|Yeah|-|Yeah|-|You know that I'm coming back for you|-|Don't you worry girl|-|Don't you worry girl|-|I'm coming back for you|-|Don't you worry now, now|-|Don't you worry now|-|You know that I'm coming back for you|-|Don't you worry girl|-|Don't you worry girl|-|You know that I'm coming back for you|-|Don't you worry girl|-|I'll be back for you|-|So you better wait up|-|Keeping the bed warm for me|-|All night putting the whisper on me|-|Giving that love and emotion that I know|-|Doesn't really matter what you do|-|I'll be back for you|-|Coming back for you|-|Yeah"
24,Control Myself,I have told all of my enemies|-|Very politely to go home|-|I have seen all of your remedies|-|Now won't you let me please go home?|-|I can't find anything to be sad about|-|They say I'm doomed but I feel fine|-|I have tried so very hard as hell|-|To stay away from hell and live upstairs|-|But when I see all of your remedies|-|I try quite desperately to go home|-|I can't find anything to be sad about|-|They say I'm doomed but I feel fine|-|But if I'm sitting here lonely|-|With no one to hold me|-|At least I'll have my health|-|I'm trying to control myself|-|I have told all of my enemies|-|Very politely to go home|-|I have seen all of your remedies|-|Now won't you let me please go home?|-|I've been acting irresponsibly|-|But what could possibly go wrong?|-|I have choked on all your remedies|-|Now won't you let me please go home?|-|But if I sit here lonely|-|With no one to hold me|-|At least I'll have my health|-|I'm trying to control myself|-|I'm trying to control|-|Myself
25,Crazy Little Thing Called Love,"This thing called love, I just can't handle it|-|This thing called love, I must get round to it|-|I ain't ready crazy little thing called love|-|This|-|(This thing)|-|Called love|-|(Called love)|-|It cries|-|(Like a baby)|-|In a cradle all night|-|It swings|-|(Woo woo)|-|It jives|-|(Woo woo)|-|It shakes all over like a jelly fish|-|I kinda like it|-|Crazy little thing called love|-|There goes my baby|-|She knows how to rock n roll|-|She drives me crazy|-|She gives me hot and cold fever|-|Then she leaves me in a cool cool sweat|-|I gotta be cool relax, get hip|-|Get on my tracks take a back seat, hitch-hike|-|And take a long ride on my motor bike until Im ready|-|Crazy little thing called love|-|I gotta be cool relax, get hip|-|Get on my tracks take a back seat, hitch-hike|-|And take a long ride on my motor bike|-|Until I'm ready|-|(Ready Freddie)|-|Crazy little thing called love|-|This thing called love, I just can't handle it|-|This thing called love, I must get round to it|-|I ain't read crazy little thing called love"
26,Daylight,"Here I am waiting|-|I'll have to leave soon|-|Why am I holding on?|-|We knew this day would come|-|We knew it all along|-|How did it come so fast?|-|This is our last night but it's late|-|And I'm trying not to asleep|-|Cause I know, when I wake, I will have to slip away|-|And when the daylight comes I'll have to go|-|But tonight I'm gonna hold you so close|-|Cause in the daylight we'll be on our own|-|But tonight I need to hold you so close|-|Oh-woah, oh-woah, oh-woah-oh-oh-oh-oh-oh|-|Oh-woah, oh-woah, oh-woah-oh-oh-oh-oh-oh|-|Here I am staring at your perfection|-|In my arms, so beautiful|-|The sky is getting bright, the stars are burning out|-|Somebody slow it down|-|This is way too hard, cause I know|-|When the sun comes up, I will leave|-|This is my last glance that will soon be memory|-|And when the daylight comes I'll have to go|-|But tonight I'm gonna hold you so close|-|Cause in the daylight we'll be on our own|-|But tonight I need to hold you so close|-|Oh-woah, oh-woah, oh-woah-oh-oh-oh-oh-oh|-|Oh-woah, oh-woah, oh-woah-oh-oh-oh-oh-oh|-|I never wanted to stop|-|Because I don't wanna start all over|-|start all over|-|I was afraid of the dark|-|But now it's all that I want|-|All that I want, all that I want|-|And when the daylight comes I'll have to go|-|But tonight I'm gonna hold you so close|-|Cause in the daylight we'll be on our own|-|But tonight I need to hold you so close|-|And when the daylight comes I'll have to go|-|But tonight I'm gonna hold you so close|-|Cause in the daylight we'll be on our own|-|But tonight I need to hold you so close|-|Oh-woah, oh-woah, oh-woah-oh-oh-oh-oh-oh|-|Oh-woah, oh-woah, oh-woah-oh-oh-oh-oh-oh|-|Oh-woah (yeah), oh-woah (yeah), oh-woah (yeah), oh-oh-oh-oh-oh-oh (yeah)|-|Oh-woah (yeah), oh-woah (yeah), oh-woah-oh-oh-oh-oh-oh-oh"
27,Denim Jacket,"You're standing there with your cigarette|-|Looking at me like we've never met|-|I know I fucked up|-|So I'll take the blame|-|And I don't expect you, to let me explain|-|You can't forgive, I can't forget|-|I know you are just too different now|-|But I miss you and that denim jacket|-|I let you get away, I let you get away|-|Do you still wear that denim jacket?|-|I let you get away, I let you get away|-|'Cause the color of that blue sky|-|Just reminds me of our goodbye|-|Do you still wear the denim jacket?|-|I let you get away, I let you get away|-|Now someone else is taking you home, yeah|-|Hands on the waist I used to hold, ooh ooh|-|And I know it's my fault|-|I'm late to the dance|-|'Cause you couldn't wait for me and I understand|-|Why you never look back|-|Once that door closed|-|I know you are just too different now|-|But I miss you and that denim jacket|-|I let you get away, I let you get away|-|Do you still wear that denim jacket?|-|I let you get away, I let you get away|-|'Cause the color of that blue sky|-|Just reminds me of our goodbye|-|Do you still wear the denim jacket?|-|I let you get away, I let you get away|-|Do you, do you still?|-|Do you, do you still?|-|Do you, do you still?|-|Wear that denim jacket?|-|Do you, do you still?|-|Do you, do you still?|-|Do you, do you still?|-|Wear that denim jacket?|-|You're dancing there with your cigarette, yeah|-|Looking at me like we've never met|-|But I miss you and that denim jacket|-|I let you get away, I let you get away|-|Do you still wear that denim jacket?|-|I let you get away, I let you get away|-|'Cause the color of that blue sky|-|Just reminds me of our goodbye|-|Do you still wear the denim jacket?|-|I let you get away, I let you get away|-|Do you, do you still?|-|Do you, do you still?|-|Do you|-|Wear that denim jacket?"
28,Doin' Dirt,"oh yeah|-|Hey you|-|Don't want to love you on the telephone|-|You're hanging up and now I am all alone|-|Baby you got me doing dirt, doing dirt, doing dirt|-|And now I wanna find you but you're on the run|-|My heart's exploding like a burning sun|-|I know you like it when it hurts, when it hurts, when it hurts|-|Hold me we're dancing in the dark of the night|-|You're shining like a neon light|-|I light you up, when I get inside|-|So won't you touch me 'cause everybody's watching us now|-|We're putting on a show for the crowd|-|So turn it up baby make it loud|-|Hey you|-|Say that you're only having fun and then|-|You call me up at 3am again|-|Baby you got me doing dirt, doing dirt, doing dirt|-|And now all that I got is just a microphone|-|To let you know that I am all alone|-|I know you like it when it hurts, when it hurts, when it hurts|-|Hold me we're dancing in the dark of the night|-|You're shining like a neon light|-|I light you up, when I get inside|-|So won't you touch me 'cause everybody's watching us now|-|We're putting on a show for the crowd|-|So turn it up baby make it loud|-|So right now, I wanna leave with you right now|-|I wanna be with you all night, get in the car and let's go|-|Yeah let's take it home, let's take it home, let's take it home|-|So right now, I wanna leave with you right now|-|I wanna be with you all night, get in the car and let's go|-|Yeah let's take it home, let's take it home, let's take it home|-|Hold me we're dancing in the dark of the night|-|You're shining like a neon light|-|I light you up, when I get inside|-|So won't you touch me? cause everybody's watching us now|-|We're putting on a show for the crowd|-|So turn it up baby make it loud"
